,,Page Name,Page ID,Candidates Mentioned+,# of Candidates Mentioned,Approx. Spend on Mentions^,# of Ads Mentioning,Total Spend++,Total # of Ads,Sponsor Name(s),Candidate Page
11,⊕,One Nation,9.16623E+14,"Joni Ernst* (371), Mitch McConnell* (270), Martha McSally* (115), David Perdue* (113), Thom Tillis* (90), Steve Daines* (86), Cory Gardner* (48), Susan Collins* (34), Robert Marshall* (19), Gary Peters* (15), Doug Collins* (12), Doug Jones* (11), Donald Trump (6)",13,"$91,990 ","1,190","$711,001 ","8,994",ONE NATION,0
12,⊕,Senate Majority PAC,1.33666E+14,"John James* (68), John Hickenlooper* (23), Cory Gardner* (13), Steve Daines* (7), Cory Booker* (6), David Perdue* (6), Donald Trump (6), Susan Collins* (6), Gary Peters* (2), Doug Collins* (1), Joni Ernst* (1), Mitch McConnell* (1), Theresa Greenfield* (1)",13,"$79,852 ",141,"$685,482 ","2,355",SENATE MAJORITY PAC,0
13,⊕,The Recount,2.18599E+15,"Donald Trump (479), Joseph Biden (109), Mitch McConnell* (7), Bernie Sanders (5), Cory Booker* (4), Joni Ernst* (3), Edward Markey* (2), John Cornyn* (2), Joseph Kennedy III* (2), Kelly Loeffler* (2), Charles Booker* (1), Justin Amash* (1), Lindsey Graham* (1)",13,"$29,189 ",618,"$127,919 ","3,476","RECOUNT MEDIA, INC",0
14,⊕,Democratic Party,12301006942,"Donald Trump (3460), Mitch McConnell* (447), Cory Gardner* (186), Susan Collins* (186), Lindsey Graham* (147), Martha McSally* (128), Joseph Biden (120), Cory Booker* (57), Thom Tillis* (57), Alissa Baldwin* (1), Scott Taylor* (1), Tina Smith* (1)",12,"$250,534 ","4,791","$2,668,279 ","41,802","BIDEN VICTORY FUND, DEMOCRATIC NATIONAL CMTE",0
15,⊕,314 Action,6.05169E+14,"Mark Kelly* (200), Mitch McConnell* (168), Martha McSally* (142), Donald Trump (111), Amy McGrath* (36), Barbara Bollier* (21), Kris Kobach* (17), Betsy Sweet* (13), Joseph Biden (11), John Hickenlooper* (10), Cory Gardner* (6)",11,"$144,259 ",735,"$505,090 ","4,387","314 ACTION, 314 ACTION FUND",0
16,⊕,AFT - American Federation of Teachers,2.15969E+11,"Mitch McConnell* (269), Donald Trump (43), Cory Gardner* (36), Martha McSally* (34), Steve Daines* (31), Susan Collins* (23), Shelley Moore Capito* (20), Thom Tillis* (20), Joseph Biden (19), Joni Ernst* (3), Kelly Loeffler* (3)",11,"$45,263 ",501,"$530,835 ","7,428","AMERICAN FEDERATION OF TEACHERS, AMERICAN FEDERATION OF TEACHERS SOLIDARITY FUND",0
17,⊕,Bill Hagerty,6.56264E+14,"Donald Trump (371), Tom Cotton* (43), Manny Sethi* (22), Joseph Biden (5), Angela Williams* (1), Bill Cassidy* (1), Gary Adkins* (1), KNOX, JAMES (1), Lindsey Graham* (1), Ted Terry* (1)",11,"$53,807 ",447,"$150,661 ","4,063","HAGERTY, BILL",1
18,⊕,Matt Lieberman,1.11703E+14,"Kelly Loeffler* (651), Mark Kelly* (651), Susan Collins* (350), Doug Collins* (341), Donald Trump (243), Kandiss Taylor* (24), Scott Taylor* (24), David Perdue* (7), Lindsey Graham* (7), Joseph Biden (5), Mitch McConnell* (4)",11,"$50,348 ","2,307","$72,389 ","5,491","LIEBERMAN, MATTHEW",1
19,⊕,NextGen America,5.71183E+14,"Donald Trump (1301), Joseph Biden (794), Sara Gideon* (90), Cal Cunningham* (75), Mark Kelly* (72), Theresa Greenfield* (21), Joni Ernst* (6), Martha McSally* (6), Susan Collins* (6), Thom Tillis* (6), Doug Collins* (3)",11,"$53,049 ","2,380","$1,308,336 ","41,927",NEXTGEN AMERICA,0
20,⊕,VoteVets.org,8501031021,"Donald Trump (402), Amy McGrath* (84), Mitch McConnell* (84), Cal Cunningham* (33), M.J. Hegar* (27), Doug Jones* (18), Joseph Biden (6), John Cornyn* (4), Mark Kelly* (4), Thom Tillis* (4), Martha McSally* (2)",11,"$143,993 ",668,"$694,226 ","7,100","VOTE VETS ACTION FUND, VOTEVETS",0
21,⊕,Donald J. Trump,1.53081E+11,"Joseph Biden (61383), Bernie Sanders (1772), Joni Ernst* (4), Lindsey Graham* (2), Mitch McConnell* (2), Thom Tillis* (2), Bill Hagerty* (1), Martha McSally* (1), Tom Cotton* (1)",9,"$26,442,001 ","278,324","$49,837,708 ","887,229","TRUMP, DONALD J.",1
22,⊕,National Democratic Training Committee,8.30121E+14,"Donald Trump (624), Mitch McConnell* (263), Susan Collins* (91), Joseph Biden (90), Lindsey Graham* (44), Amy Klobuchar (31), Mark Kelly* (23), Doug Collins* (13), Joni Ernst* (8), Bernie Sanders (1)",10,"$177,914 ","1,188","$1,406,665 ","16,032",NATIONAL DEMOCRATIC TRAINING CMTE,0
23,⊕,The Lincoln Project,1.05756E+14,"Donald Trump (833), Joseph Biden (122), Mitch McConnell* (20), Martha McSally* (5), Susan Collins* (3), Cory Gardner* (2), Al Gross* (1), Joni Ernst* (1), Steve Bullock* (1), Thom Tillis* (1)",10,"$2,120,286 ",989,"$3,998,130 ","6,372",THE LINCOLN PROJECT,0
24,⊕,Women Speak Out PAC,4.42159E+14,"Donald Trump (8), Joseph Biden (8), Cal Cunningham* (2), Gary Peters* (2), John James* (2), Mark Kelly* (2), Martha McSally* (2), Steve Bullock* (2), Steve Daines* (2), Thom Tillis* (2)",10,"$37,199 ",32,"$37,199 ",160,WOMEN SPEAK OUT PAC,0
25,⊕,Democratic Governors Association (DGA),96935476345,"Joseph Biden (2861), Donald Trump (2058), Cory Booker* (614), Mitch McConnell* (516), Amy Klobuchar (315), Elizabeth Warren (201), Lindsey Graham* (143), Pete Buttigieg (136), Bernie Sanders (129)",9,"$2,352,666 ","6,973","$7,602,519 ","95,232",DEMOCRATIC ACTION,0
26,⊕,NRA Institute for Legislative Action,22561081832,"Joseph Biden (511), Cal Cunningham* (40), John Hickenlooper* (39), Jon Ossoff* (39), Steve Bullock* (37), Mark Kelly* (21), Theresa Greenfield* (21), M.J. Hegar* (12), Daniel S. Sullivan* (3)",9,"$420,716 ",723,"$838,416 ","5,419","NATIONAL RIFLE ASSOCIATION OF AMERICA, NRA VICTORY FUND, INC.",0
27,⊕,Reverend Raphael Warnock,1.09112E+14,"Mitch McConnell* (774), Joseph Biden (303), Donald Trump (289), Cory Booker* (124), Kelly Loeffler* (111), Mark Kelly* (110), Amy McGrath* (24), Sara Gideon* (24), Doug Collins* (1)",9,"$468,673 ","1,760","$944,933 ","15,139","WARNOCK, RAPHAEL",1
28,⊕,Doug Collins,2.53792E+14,"Susan Collins* (1743), Donald Trump (526), Kelly Loeffler* (100), Mark Kelly* (84), Joseph Biden (51), Mark Warner* (3), Mitch McConnell* (3), Raphael Warnock* (1)",8,"$212,155 ","2,511","$248,041 ","13,693","COLLINS, DOUGLAS ALLEN",1
29,⊕,Health Care Voter,1.93419E+15,"Donald Trump (412), Thom Tillis* (37), Martha McSally* (24), Susan Collins* (8), Mitch McConnell* (5), Cory Gardner* (4), Steve Daines* (4), Joni Ernst* (1)",8,"$75,390 ",495,"$729,450 ","11,623","CHANGE NOW, CHANGE NOW PAC",0
30,⊕,Speak Up For Education and Kids,1.12326E+14,"Donald Trump (1138), Joseph Biden (802), Mitch McConnell* (5), Cory Gardner* (1), Martha McSally* (1), Steve Daines* (1), Susan Collins* (1), Thom Tillis* (1)",8,"$39,778 ","1,950","$236,208 ","20,326","NATIONAL EDUCATION ASSN, NATIONAL EDUCATION ASSOCIATION, NEA ADVOCACY FUND",0
31,⊕,Steve Daines,1.7679E+14,"Steve Daines* (3669), Steve Bullock* (486), Donald Trump (366), Lindsey Graham* (67), Mitch McConnell* (31), Tom Cotton* (22), Ben Sasse* (14), Joseph Biden (6)",8,"$1,953,612 ","4,661","$2,071,657 ","26,498","DAINES, STEVE",1
32,⊕,Texas Democratic Party,1.03983E+11,"Donald Trump (575), John Cornyn* (182), Joseph Biden (116), M.J. Hegar* (65), Nancy Harris* (55), Royce West* (49), Jeff Sessions* (30), Mitch McConnell* (14)",8,"$55,678 ","1,086","$581,097 ","17,952",DEMOCRATIC PARTY OF TEXAS,0
33,⊕,We the People 2020,1.08104E+14,"Donald Trump (310), Joseph Biden (46), Mark Kelly* (15), Cal Cunningham* (12), Martha McSally* (12), Thom Tillis* (11), Sara Gideon* (6), Susan Collins* (3)",8,"$163,218 ",415,"$163,218 ","2,299","PRIORITIES USA, PRIORITIES USA ACTION, PRIORITIES USA ACTION; SENATE MAJORITY PAC",0
34,⊕,Cal Cunningham,1.11428E+11,"Thom Tillis* (3376), Donald Trump (1128), Mitch McConnell* (641), Joseph Biden (24), Daniel McCarthy* (22), Erica Smith* (22), Ted Terry* (22)",7,"$354,136 ","5,235","$773,854 ","19,915","CUNNINGHAM, CAL, CUNNINGHAM, CAL; DSCC",1
35,⊕,Democratic Strategy Institute,1.01279E+14,"Donald Trump (1231), Mitch McConnell* (433), Amy McGrath* (196), Joseph Biden (128), Lindsey Graham* (86), Susan Collins* (45), Doug Collins* (6)",7,"$1,732,982 ","2,125","$2,263,807 ","14,725",DEMOCRATIC STRATEGY INSTITUTE,0
36,⊕,Georgia United Victory,1.08182E+14,"Doug Collins* (199), Donald Trump (9), Susan Collins* (9), Kelly Loeffler* (5), Mark Kelly* (5), Joseph Biden (2), Raphael Warnock* (2)",7,"$222,262 ",231,"$301,514 ","1,254",GEORGIA UNITED VICTORY,0
37,⊕,John W. Hickenlooper,97493741436,"Cory Gardner* (1829), Cory Booker* (1408), Mitch McConnell* (667), Donald Trump (494), Joseph Biden (20), John Love III* (15), Martha McSally* (2)",7,"$417,584 ","4,435","$1,189,046 ","19,603","HICKENLOOPER, JOHN W.",1
38,⊕,MeidasTouch,1.04615E+14,"Donald Trump (780), Donald Trump (780), Mitch McConnell* (104), Joseph Biden (44), Joni Ernst* (12), Lindsey Graham* (12), Martha McSally* (8)",7,"$101,858 ","1,740","$271,966 ","12,676","BRETT ADAM MEISELAS, MEIDASTOUCH",0
39,⊕,Progressive Takeover,1.27755E+14,"Donald Trump (196), Mitch McConnell* (176), Joseph Biden (65), Amy McGrath* (57), Amy Klobuchar (12), Mark Kelly* (5), Susan Collins* (3)",7,"$3,246,944 ",514,"$4,257,320 ","5,840",PROGRESSIVE TAKEOVER,0
40,⊕,16 Counties Coalition,3.73981E+14,"Susan Collins* (382), Donald Trump (61), Mitch McConnell* (39), Lisa Savage* (12), Doug Collins* (3), Mike Bloomberg (1)",6,"$31,440 ",498,"$45,840 ",659,MAINE MOMENTUM,0
41,⊕,Congressional Black Caucus PAC,2.3637E+14,"Donald Trump (349), Lindsey Graham* (127), Jaime R. Harrison* (89), Mitch McConnell* (38), Joseph Biden (12), Cory Booker* (10)",6,"$121,429 ",625,"$887,739 ","8,114",CONGRESSIONAL BLACK CAUCUS PAC,0
42,⊕,Cory Gardner,2.57019E+14,"Cory Booker* (617), John Hickenlooper* (32), Tom Cotton* (21), Donald Trump (17), Lindsey Graham* (9), Mitch McConnell* (6)",6,"$203,603 ",702,"$275,632 ","6,084","GARDNER, CORY",1
43,⊕,Courier,1.10749E+14,"Donald Trump (95), Joseph Biden (43), Mitch McConnell* (6), Erik Underwood* (4), Jeff Sessions* (1), Martha McSally* (1)",6,"$38,448 ",150,"$1,366,491 ","8,786",COURIER NEWSROOM,0
44,⊕,House Majority PAC,2.28755E+14,"Donald Trump (561), Mitch McConnell* (68), Joseph Biden (51), Lindsey Graham* (19), Susan Collins* (19), Scott Taylor* (3)",6,"$455,535 ",721,"$1,353,606 ","14,797",HOUSE MAJORITY PAC,0
45,⊕,Let America Vote,3.73815E+14,"Donald Trump (1150), Mitch McConnell* (354), Joseph Biden (137), Amy Klobuchar (42), Bernie Sanders (9), Michelle Ferrigno Warren* (5)",6,"$144,615 ","1,697","$969,092 ","24,550","LET AMERICA VOTE, LET AMERICA VOTE PAC",0
46,⊕,The Wilderness Society Action Fund,5.67371E+14,"Donald Trump (1900), Steve Daines* (38), Cory Gardner* (32), Tina Smith* (12), Cory Booker* (4), Tom Udall* (2)",6,"$65,457 ","1,988","$170,203 ","22,730",WILDERNESS SOCIETY ACTION FUND,0
47,⊕,Women Vote,4.70241E+14,"Susan Collins* (51), Donald Trump (8), M.J. Hegar* (8), Eddie Mauro* (3), Theresa Greenfield* (2), Joni Ernst* (1)",6,"$94,445 ",73,"$266,733 ","1,341",WOMEN VOTE,0
48,⊕,Women's March,1.33882E+15,"Donald Trump (1469), Mitch McConnell* (149), Cory Gardner* (56), Susan Collins* (56), Cory Booker* (42), Thom Tillis* (42)",6,"$91,983 ","1,814","$141,150 ","12,042",NA,0
49,⊕,Alexandria Ocasio-Cortez,1.31637E+15,"Donald Trump (2184), Bernie Sanders (93), Jeff Sessions* (73), Mitch McConnell* (42), Edward Markey* (36)",5,"$112,127 ","2,428","$3,003,746 ","164,400","OCASIO-CORTEZ, ALEXANDRIA, THE SQUAD VICTORY FUND",1
50,⊕,BOLD PAC,1.43881E+15,"Donald Trump (228), Mitch McConnell* (115), Lindsey Graham* (63), Joseph Biden (57), Mark Kelly* (3)",5,"$27,087 ",466,"$156,349 ","9,225",COMMITTEE FOR HISPANIC CAUSES-BOLD PAC,0
51,⊕,Cardinal & Pine,1.06488E+14,"Donald Trump (205), Thom Tillis* (129), Joseph Biden (108), Mitch McConnell* (17), Cal Cunningham* (10)",5,"$170,308 ",469,"$648,945 ","7,616",COURIER NEWSROOM,0
52,⊕,Ditch Mitch,2.28354E+15,"Mitch McConnell* (263), Amy McGrath* (221), Donald Trump (9), BARRON, STEPHEN BRADLEY (2)",5,"$97,386 ",495,"$285,679 ","3,775",DITCH FUND,0
53,⊕,Elect Black Democrats,1.0417E+14,"Donald Trump (39), Jaime R. Harrison* (35), Lindsey Graham* (16), Joseph Biden (15), Cory Booker* (8)",5,"$48,914 ",113,"$50,345 ",679,THE COLLECTIVE PAC,0
54,⊕,Florida Democratic Party,7833534974,"Donald Trump (373), Joseph Biden (238), Mitch McConnell* (8), Bernie Sanders (6), Cory Booker* (1)",5,"$32,364 ",626,"$482,133 ","4,560",DEMOCRATIC PARTY OF FLORIDA,0
55,⊕,Gary Peters,6713653788,"Donald Trump (659), Mitch McConnell* (310), John James* (172), Cory Booker* (70), Joseph Biden (64)",5,"$80,968 ","1,275","$724,985 ","17,169","PETERS, GARY",1
56,⊕,John Cornyn,3.55317E+14,"Donald Trump (458), Joseph Biden (200), Royce West* (94), Joni Ernst* (64), M.J. Hegar* (6)",5,"$143,962 ",822,"$1,012,490 ","16,139","CORNYN, JOHN SEN",1
57,⊕,John Osborne for U.S. Senate,1.03858E+14,"OSBORNE, JOHN E. (33), Donald Trump (2), Bill Hagerty* (1), Joseph Biden (1)",5,"$38,493 ",37,"$38,493 ",338,"OSBORNE, JOHN E.",1
58,⊕,Jon Ossoff,1.33629E+15,"David Perdue* (571), Donald Trump (282), Mitch McConnell* (156), Kelly Loeffler* (25), Mark Kelly* (25)",5,"$477,874 ","1,059","$1,072,344 ","19,503","OSSOFF, T. JONATHAN",1
59,⊕,Majority Forward,1.72133E+15,"Cory Booker* (12), Cory Gardner* (12), Thom Tillis* (8), David Perdue* (7), Kelly Loeffler* (4)",5,"$29,373 ",43,"$303,838 ",392,MAJORITY FORWARD,0
60,⊕,Martha McSally,2.78491E+14,"Mark Kelly* (799), Donald Trump (244), Joseph Biden (73), Lindsey Graham* (61), John Cornyn* (6)",5,"$108,154 ","1,183","$1,023,250 ","26,316","MCSALLY, MARTHA",1
61,⊕,NRDC Action Fund,2.09517E+11,"Donald Trump (1455), Cory Gardner* (61), Mitch McConnell* (42), Thom Tillis* (12), Daniel S. Sullivan* (1)",5,"$37,051 ","1,571","$514,079 ","25,493",NRDC ACTION FUND,0
62,⊕,NRSC,9324910069,"Donald Trump (1685), Mitch McConnell* (130), Joseph Biden (46), Doug Jones* (1), Steve Bullock* (1)",5,"$540,791 ","1,863","$2,955,026 ","29,982",NATIONAL REPUBLICAN SENATORIAL CMTE,0
63,⊕,Rocky Mountain Values,4.5989E+14,"Cory Gardner* (465), Mitch McConnell* (62), Cory Booker* (18), Donald Trump (9), Kelly Loeffler* (1)",5,"$32,486 ",555,"$32,486 ",508,ROCKY MOUNTAIN VALUES,0
64,⊕,Save My Care,7.43017E+14,"Cory Gardner* (5), Martha McSally* (5), Thom Tillis* (5), Joni Ernst* (4), Susan Collins* (4)",5,"$27,638 ",23,"$282,303 ",522,NA,0
65,⊕,The Copper Courier,3.4469E+14,"Martha McSally* (426), Donald Trump (202), Joseph Biden (107), Mitch McConnell* (41), Mark Kelly* (24)",5,"$292,126 ",800,"$558,522 ","7,138",COURIER NEWSROOM,0
66,⊕,The Presidential Coalition,2.42077E+14,"Donald Trump (90), Tina Smith* (60), Doug Jones* (56), Gary Peters* (53), Jeanne Shaheen* (36)",5,"$178,005 ",295,"$683,452 ","2,031",PRESIDENTIAL COALITION,0
67,⊕,True Georgia Conservatives,1.00176E+14,"Susan Collins* (183), Kelly Loeffler* (168), Mark Kelly* (160), Donald Trump (27), Mike Bloomberg (3)",5,"$62,971 ",541,"$62,971 ","1,038","COLLINS, DOUGLAS ALLEN",1
68,⊕,Vote By Mail 2020,1.90094E+14,"Donald Trump (8182), Joseph Biden (16), Cal Cunningham* (6), Mark Kelly* (6), Sara Gideon* (4)",5,"$2,989,837 ","8,214","$2,989,837 ","85,001","PRIORITIES USA ACTION, PRIORITIES USA ACTION; SENATE MAJORITY PAC",0
69,⊕,Amy McGrath,1.11394E+14,"Mitch McConnell* (1966), Donald Trump (7), MCCRACKEN, TRICIA (4)",4,"$892,060 ","1,977","$2,156,749 ","37,321","MCGRATH, AMY",1
70,⊕,Boost the News,2.48833E+14,"Donald Trump (2905), Joseph Biden (1217), Jeff Sessions* (47), Amanda Edwards* (36)",4,"$83,003 ","4,205","$427,572 ","20,069",NA,0
71,⊕,Charles Booker,3.0538E+14,"Mitch McConnell* (1439), Amy McGrath* (129), Matt Jones* (80), Donald Trump (78)",4,"$797,171 ","1,726","$995,492 ","8,881","BOOKER FOR KENTUCKY LTD, BOOKER, CHARLES, CBEC, CHARLES BOOKER, CHARLES BOOKER FOR STATE REPRESENTATIVE. EARLETTA HEARN, TREASURER.",1
72,⊕,Democratic Majority for Israel,2.59213E+14,"Joseph Biden (126), Donald Trump (63), Jaime R. Harrison* (1), Theresa Greenfield* (1)",4,"$26,641 ",191,"$233,418 ","4,678",DEMOCRATIC MAJORITY FOR ISRAEL,0
73,⊕,Fire Mitch. Save America.,1.01592E+14,"Mitch McConnell* (975), Amy McGrath* (357), Donald Trump (35), Charles Booker* (9)",4,"$278,768 ","1,376","$279,268 ","3,319",SAVE AMERICA FUND,0
74,⊕,Four Is Enough,1.01183E+14,"Donald Trump (3407), Joseph Biden (1280), Ben Sasse* (13), Mitch McConnell* (4)",4,"$570,650 ","4,704","$3,162,201 ","38,988",PACRONYM,0
75,⊕,Joni Ernst,5.86752E+14,"Theresa Greenfield* (84), Donald Trump (25), Martha McSally* (9), John Cornyn* (4)",4,"$136,818 ",122,"$479,186 ","7,807","ERNST, JONI K, JOBS OPPORTUNITY AND NEW IDEAS PAC",1
76,⊕,Kamala Harris,24413227922,"Joseph Biden (931), Donald Trump (604), Mitch McConnell* (114), Jeff Sessions* (64)",4,"$47,002 ","1,713","$1,044,476 ","3,800","HARRIS, KAMALA D.",1
77,⊕,Lindsey Graham,1.65988E+14,"Donald Trump (201), Jaime R. Harrison* (122), Joseph Biden (8), Steve Daines* (1)",4,"$186,138 ",332,"$3,318,271 ","23,427","GRAHAM, LINDSEY O.",1
78,⊕,Lindsey Must Go,2.49456E+14,"Lindsey Graham* (269), Donald Trump (36), Jaime R. Harrison* (19), Mitch McConnell* (3)",4,"$55,594 ",327,"$75,416 ","1,336",LMG PAC,0
79,⊕,Mitch McConnell,2.59131E+14,"Donald Trump (424), Amy McGrath* (47), Charles Booker* (18), John Cornyn* (10)",4,"$888,989 ",499,"$2,158,581 ","6,307","MCCONNELL, MITCH",1
80,⊕,Pat Timmons-Goodson,1.07655E+14,"Mitch McConnell* (616), Donald Trump (37), Joseph Biden (5), Roy Moore* (1)",4,"$201,104 ",659,"$550,308 ","9,119","TIMMONS-GOODSON, PATRICIA",1
81,⊕,Sara Gideon,2.33058E+15,"Susan Collins* (3457), Mitch McConnell* (1047), Donald Trump (469), Doug Collins* (60)",4,"$927,672 ","5,033","$2,027,116 ","42,108","GIDEON, SARA",1
82,⊕,Steve Bullock,1.05733E+14,"Mitch McConnell* (1081), Steve Daines* (209), Lindsey Graham* (85), Donald Trump (45)",4,"$217,742 ","1,420","$1,143,071 ","29,699","BULLOCK, STEVE",1
83,⊕,Susan Collins,4.19237E+14,"Sara Gideon* (113), Doug Collins* (17), John Cornyn* (12), Martha McSally* (6)",4,"$61,312 ",148,"$352,056 ","6,323","COLLINS, SUSAN M.",1
84,⊕,Tax March,2.37788E+14,"Donald Trump (492), Martha McSally* (1), Mitch McConnell* (1), Susan Collins* (1)",4,"$90,327 ",495,"$357,202 ","4,927",TAX MARCH,0
85,⊕,Team Collins,1.03802E+14,"Sara Gideon* (94), Doug Collins* (3), Betsy Sweet* (1), Donald Trump (1)",4,"$110,780 ",99,"$172,043 ","1,168","COLLINS, SUSAN M.",1
86,⊕,The Daily Show,7976226799,"Donald Trump (308), Joseph Biden (45), Tom Cotton* (12), Jim Inhofe* (7)",4,"$28,149 ",372,"$772,607 ","4,151",COMEDY CENTRAL,0
87,⊕,Theresa Greenfield,6.83873E+14,"Mitch McConnell* (786), Joni Ernst* (681), Donald Trump (5), Cal Woods* (2)",4,"$237,732 ","1,474","$440,515 ","8,728","GREENFIELD, THERESA",1
88,⊕,Tommy Tuberville,2.22558E+15,"Tommy Tuberville* (566), Doug Jones* (218), Jeff Sessions* (217), Donald Trump (77)",4,"$72,815 ","1,078","$105,624 ","3,251","TUBERVILLE, TOMMY",1
89,⊕,Barbara Bollier,1.02618E+14,"Kris Kobach* (213), Mitch McConnell* (91), Robert Marshall* (63)",3,"$146,300 ",367,"$204,352 ","3,265","BOLLIER, BARBARA",1
90,⊕,Ben Shapiro,2.03805E+14,"Donald Trump (82), Joseph Biden (52), Bernie Sanders (4)",3,"$39,132 ",138,"$675,570 ","3,872",THE DAILY WIRE,0
91,⊕,Big Money Mark Kelly,1.07039E+14,"Mark Kelly* (111), Joseph Biden (10), Donald Trump (2)",3,"$193,537 ",123,"$193,537 ",863,NATIONAL REPUBLICAN SENATORIAL CMTE,0
